id,name,artist(s),popularity,liked,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",74,1,0.671,0.939,8,-3.206,1,0.161,0.192,0.0,0.298,0.529,129.023,252307,4
3oZoXyU0SkDldgS7AcN4y4,Get Low,"['Dillon Francis', 'DJ Snake']",60,1,0.674,0.932,11,-4.424,0,0.0859,0.0282,0.71,0.684,0.728,101.033,212773,4
2e0PQjgRNMDKeaMH49tHnC,Donald Trump,['Mac Miller'],41,1,0.676,0.935,1,-4.97,0,0.176,0.0339,0.0,0.359,0.809,162.996,164523,4
0tAFy8LVdMQgW6A6Nq7olS,Do You?,['TroyBoi'],45,1,0.827,0.518,10,-8.156,0,0.343,0.164,0.375,0.61,0.584,80.729,195791,4
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,"['Mike Posner', 'Gigamesh']",70,1,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969,213293,4
4xcArbiK3LzdpravfBkkRc,Coming Home (Oregon),['Mat Kearney'],44,1,0.65,0.755,8,-4.656,1,0.0259,0.00718,4.49e-06,0.311,0.287,108.006,204107,4
1TWfkGrhF7ob0nwB2M6knb,Animals,['Martin Garrix'],60,1,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,304229,4
5kjyiH6but1t2UDXq15aeS,Toes,['Zac Brown Band'],69,1,0.8,0.759,11,-5.398,1,0.0378,0.655,0.0,0.0897,0.821,129.979,262773,4
389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps - Remastered 2009,['The Beatles'],64,1,0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115.0,285000,4
5xLfQuX5YAfog2JgPz0dpA,Moving in Stereo,['The Cars'],59,1,0.718,0.543,4,-11.238,1,0.0372,0.0606,0.0988,0.0646,0.37,115.522,286107,4
6M0IsaUX4GNyto4niSegfI,No Option,['Post Malone'],71,1,0.575,0.734,2,-4.949,1,0.057,0.0757,0.0,0.241,0.494,83.986,179827,4
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,['Dire Straits'],64,1,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4
0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],73,1,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4
3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - Remastered 2004,['George Harrison'],67,1,0.767,0.854,4,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653,4
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,['Neil Diamond'],76,1,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4
6TrNRd98WksT9Kkmx9uj6R,Let It Rock,"['Kevin Rudolf', 'Lil Wayne']",62,1,0.607,0.781,7,-4.276,1,0.0407,0.00106,0.0,0.0769,0.482,113.183,231173,4
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,['The Beatles'],72,1,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227,4
3liuLCzIoOhduPXp8kbHHA,Getting Better - Remix,['The Beatles'],39,1,0.598,0.551,0,-6.909,1,0.0308,0.0913,0.0,0.0958,0.817,121.959,167013,4
6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,['The Beatles'],58,1,0.527,0.48,4,-9.61,1,0.028,0.334,0.0,0.0702,0.706,139.388,120853,4
5ylLypaOksxWd75YrGtx2N,Eight Days A Week - Remastered 2015,['The Beatles'],55,1,0.636,0.677,9,-5.605,1,0.0316,0.265,0.0,0.215,0.837,138.707,163320,4
3Smida2eCUsLzDcmZqXEZ3,Help! - Remastered 2015,['The Beatles'],57,1,0.602,0.736,11,-6.51,0,0.0332,0.149,0.0,0.0776,0.819,94.931,139240,4
2GfE6RKmU6xX6zvYmwTlpO,Sgt Pepper's Lonely Hearts Club Band,['The Beatles'],42,1,0.33,0.85,7,-5.788,1,0.374,0.126,1.51e-05,0.834,0.602,189.782,121360,4
0hqjsgWRfMBf2s8xsvRq1M,"Hello, Goodbye - Remastered 2015",['The Beatles'],55,1,0.498,0.806,0,-5.284,1,0.0265,0.402,5.74e-06,0.525,0.664,99.396,207787,4
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,['Michael Jackson'],78,1,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4
26PwuMotZqcczKLHi4Htz3,Redemption Song,['Bob Marley & The Wailers'],69,1,0.684,0.248,0,-10.505,1,0.0435,0.578,0.0,0.0643,0.621,116.002,233560,4
1uwvshRUOEHmsX0IMGhtRi,Three Little Birds,['Bob Marley & The Wailers'],41,1,0.8,0.343,9,-16.415,1,0.0926,0.0203,1.92e-06,0.0414,0.6,73.987,180053,4
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"['French Montana', 'Swae Lee']",80,1,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
4N8UFEJSemqrX1JqFSXln1,Jamming,['Bob Marley & The Wailers'],27,1,0.941,0.473,11,-10.976,0,0.274,0.148,2.65e-05,0.112,0.765,123.673,211000,4
3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),['The Beach Boys'],65,1,0.39,0.625,9,-7.813,0,0.0537,0.36,0.0,0.0663,0.514,144.338,134387,4
0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A. - Remastered,['The Beach Boys'],70,1,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,149373,4
7Cuk8jsPPoNYQWXK9XRFvG,September,"['Earth, Wind & Fire']",78,1,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4
2qhASBzpbFhPRtrnZ5lLnz,Unchained Melody,['The Righteous Brothers'],64,1,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,218013,3
3Ho1fz8s0zvJFfJuQzNKvu,On Your Porch,['The Format'],36,1,0.613,0.423,0,-10.794,1,0.0286,0.58,0.00414,0.118,0.481,122.001,311707,4
2durxb17bXcmQJHSt8JAdO,No Tellin',['Drake'],59,1,0.827,0.477,7,-10.408,0,0.275,0.535,0.0,0.136,0.558,95.03,310933,4
6oeCLDX1ML2tPOPT1JuyaJ,Views,['Drake'],40,1,0.457,0.855,5,-5.873,1,0.342,0.0614,0.0,0.238,0.0856,77.237,311960,4
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,['Drake'],81,1,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
6DCZcSspjsKoFjzjrWoCdn,God's Plan,['Drake'],82,1,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
3cFpfPqvmTD7TXSN7IZ8mD,Supligen,['Gemmy'],19,1,0.48,0.708,0,-7.319,1,0.0947,0.00135,0.904,0.103,0.217,66.771,280869,4
3mkQUsWFWanwB0ED3gNH4r,nm,['Spangle Call Lilli Line'],31,1,0.729,0.354,9,-9.623,1,0.0326,0.559,0.867,0.207,0.52,90.349,259040,4
0uD0FRms5gPrTdA0qmyhrM,The Dig,['Groundislava'],31,1,0.654,0.825,7,-7.653,1,0.0964,0.0908,0.293,0.12,0.0703,121.984,365715,4
1icyef1nNmLusODA03FLGf,Pink Turns To Blue,['Hüsker Dü'],35,1,0.242,0.96,9,-11.85,1,0.0638,5.09e-05,0.392,0.12,0.323,153.439,162933,4
5XXiK8GZjjmCHpBpUEm9z5,I'm The One,['Descendents'],48,1,0.391,0.968,0,-6.324,1,0.0625,0.0102,7.01e-05,0.446,0.647,90.481,135133,4
1MPEPvmX18S9MK4RlMKIst,Hope,['Descendents'],52,1,0.506,0.903,2,-8.898,1,0.0455,0.00169,0.0,0.336,0.781,117.229,120360,4
2LUGAmTUIgFyHPVWmFRzvw,Algiers,['The Afghan Whigs'],36,1,0.615,0.799,9,-6.892,0,0.0305,0.0341,0.192,0.111,0.697,114.984,243347,4
3Tz1rUlNflnsqKm01ci2Jl,Over the Garden Wall,"['ieuan', 'Commonminds']",24,1,0.673,0.262,9,-14.965,0,0.11,0.609,0.00214,0.445,0.21,103.491,249347,4
5M4yti0QxgqJieUYaEXcpw,Eventually,['Tame Impala'],65,1,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935,318591,4
3ArMAPk1HAoPh7D7t1VY2S,Can't Fight the Feeling,['Le Swedes'],0,1,0.719,0.766,0,-5.496,0,0.0535,0.0126,0.000944,0.0777,0.552,125.024,296640,4
73IKD23RnCoAZfJI9ReAvy,When Am I Gonna Lose You - Acoustic,['Local Natives'],39,1,0.454,0.343,11,-6.382,1,0.0316,0.863,0.0,0.122,0.209,132.418,251783,4
0UaCkC08EhJ7BVpmudkztQ,Live a Lie,['The Raconteurs'],47,1,0.335,0.822,9,-6.754,1,0.0538,2.52e-05,0.0,0.124,0.377,140.583,140807,4
5G8EOb1IVj7ivig1qzQfuj,Somedays (I Don't Feel Like Trying),['The Raconteurs'],52,1,0.425,0.609,0,-6.933,1,0.0299,0.016,0.000105,0.102,0.404,84.482,246376,4
5sN6T2PtafVYVH5DmEn7ar,Only Child,['The Raconteurs'],51,1,0.59,0.519,7,-8.986,1,0.0259,0.0512,0.00311,0.141,0.362,73.462,221082,4
3ZZm4wyoTLvDhoFgqloqVT,"Drugs With Friends (Live at La Lune des Pirates, Amiens, France)",['Car Seat Headrest'],40,1,0.217,0.56,2,-7.409,1,0.0318,0.107,0.00164,0.965,0.601,93.102,376000,4
1H7gMYGykdtwZOV6s1N0by,Norwegian Wood (This Bird Has Flown) - Remastered 2009,['The Beatles'],64,1,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,124693,3
59P1nrdEImkAKa1nyW9X2e,Pain,['The War On Drugs'],57,1,0.523,0.833,7,-4.374,0,0.0405,0.00387,0.000339,0.0841,0.482,115.975,330760,4
1iDl1AeGJ6riPIaHTaWdot,The Strange and the Kind - Audiotree Live Version,['Surf Curse'],26,1,0.254,0.963,2,-5.509,1,0.122,0.0402,0.00106,0.44,0.213,188.153,166328,4
5cRaKP0bGLP9FyDTcIFhMS,Disco,['Surf Curse'],56,1,0.475,0.622,11,-8.698,0,0.0292,0.0277,0.000265,0.177,0.781,173.089,152761,4
2ZQSRyJeY3HDJ99w0dFhfg,Forever Dumb,['Surf Curse'],50,1,0.303,0.736,1,-12.691,0,0.0728,0.0223,0.0328,0.107,0.444,170.826,258320,4
0HUTL8i4y4MiGCPId7M7wb,Freaks,['Surf Curse'],55,1,0.346,0.944,9,-9.874,1,0.0485,4.16e-05,0.565,0.0546,0.403,179.63,147036,4
4Y2W4zKa3q72ztbkA0r8Va,Dayvan Cowboy,['Boards of Canada'],48,1,0.322,0.615,11,-10.774,1,0.0427,0.507,0.819,0.0677,0.0361,167.95,300187,4
7KsZHCfOitA5V9oQYVdltG,Everything Now,['Arcade Fire'],63,1,0.548,0.865,0,-5.325,1,0.0302,0.00171,0.000449,0.457,0.61,116.046,303013,4
2LWMF10STZqYY9a3YqBiOG,Reflektor,['Arcade Fire'],52,1,0.59,0.721,11,-8.32,0,0.0317,0.0438,0.0155,0.352,0.656,111.524,453949,4
2UWdUez9MB9yzL7Y81Mcip,The Suburbs,['Arcade Fire'],64,1,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,4
7Bl5Fqa2g1UFs2O1VJiKhb,Intervention,['Arcade Fire'],45,1,0.365,0.698,0,-6.643,1,0.037,0.0349,7.85e-05,0.215,0.233,121.403,259000,4
0xOeB16JDbBJBJKSdHbElT,Rebellion (Lies),['Arcade Fire'],61,1,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,310893,4
0WZZJ0mDKIkLfL0710ssZt,Neighborhood #1 (Tunnels),['Arcade Fire'],55,1,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,288333,4
4p3DgeHzdsBBbL3QWGkuk3,Asleep at the Wheel,['Working for a Nuclear Free City'],26,1,0.33,0.759,7,-9.0,1,0.0391,6.55e-06,0.793,0.341,0.156,143.102,260080,4
4W7OwimGQdv3jFHDZrOCPl,Rocket,['Working for a Nuclear Free City'],28,1,0.501,0.576,10,-8.457,0,0.0279,0.000815,0.821,0.255,0.126,106.179,287547,4
0Vg1lQpk2IHk2JU8UfAa5d,Yesterday,['J Dilla'],50,1,0.599,0.396,5,-8.519,0,0.138,0.701,0.82,0.11,0.691,104.068,71427,3
4omO3Xwm4REEK5HGT6e6yY,So Far to Go,"['J Dilla', 'Common', ""D'Angelo""]",52,1,0.619,0.561,5,-5.351,0,0.0494,0.0087,6.74e-05,0.304,0.285,90.36,336813,4
3oCd3FOFHmHna7DDGXosAJ,Faded Curtains,['Cap Kendricks'],44,1,0.816,0.42,0,-11.638,1,0.0589,0.605,0.472,0.13,0.47,150.045,147200,4
0YveezON7jpiaHA8fnUHxN,Roundabout - Remastered Version,['Yes'],62,1,0.41,0.761,4,-9.453,0,0.0687,0.0682,0.0077,0.0758,0.391,132.889,510573,4
6uoM7KHsyJsHZqBQHKjQbc,Black Sands,['Bonobo'],51,1,0.525,0.499,0,-9.023,0,0.0246,0.732,0.936,0.0966,0.338,87.989,408960,3
4zBdObrAnn5OVWC9F02wA3,Wanderlust,['Logistics'],39,1,0.563,0.826,2,-4.029,1,0.0339,0.00127,0.418,0.356,0.0456,86.983,322759,4
7l3MZPlCyfO7wXXH2X0JRE,Apple Pies & Butterflies,['Blue Wednesday'],30,1,0.846,0.377,10,-13.698,0,0.169,0.385,0.847,0.0409,0.606,100.028,196232,4
4pI7VTiN59CZnGJUgVZPoy,Murmuration,"['Blue Wednesday', 'Shopan']",60,1,0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,156000,4
4wtyVaBlDmssq5sj1cwF9S,Prophecy,"['Tchami', 'Malaa']",51,1,0.763,0.827,11,-1.956,1,0.0487,0.00499,0.772,0.0627,0.227,125.008,278400,4
41BYFsZUowjtKSEna1lH4p,Shit Man,['Volac'],10,1,0.84,0.635,1,-6.173,0,0.0691,0.00107,0.682,0.0743,0.241,123.997,264243,4
7gU71n8qIcs9CghUVk3fWV,No Peace,['EARTHGANG'],37,1,0.555,0.791,3,-5.188,0,0.332,0.0667,0.0,0.0977,0.741,138.538,278226,4
0ntHEP3DJyS2qgJgqbWNxh,House (feat. Mick Jenkins),"['EARTHGANG', 'Mick Jenkins']",47,1,0.639,0.677,10,-4.681,0,0.243,0.123,0.0,0.216,0.706,133.591,375735,4
23zxnTDMZ1pidA91AUawNU,Cocktail,['EARTHGANG'],51,1,0.757,0.713,1,-4.467,0,0.323,0.156,1.27e-06,0.182,0.304,107.186,185103,4
2OK78skf6Xgf1jTu6gQoC9,Hope You’re Happy,"['Emeryld', 'EARTHGANG']",51,1,0.624,0.563,9,-6.725,1,0.171,0.168,0.0,0.108,0.303,79.806,228120,4
3Z7dieIRSquTYqLVR15mov,Missed Calls,['EARTHGANG'],55,1,0.789,0.665,9,-5.201,1,0.0665,0.00775,0.0,0.109,0.324,127.914,270747,4
0Wl3eGYi3dzzljXgkmunmP,Artificial,['EARTHGANG'],56,1,0.78,0.607,0,-8.002,0,0.325,0.332,0.0,0.361,0.423,80.55,260867,4
6SzbbQUOx85hxpqsesoMfx,Church (feat. EARTHGANG),"['Samm Henshaw', 'EARTHGANG']",60,1,0.652,0.746,8,-4.62,1,0.107,0.0177,0.00044,0.0734,0.894,165.861,228118,4
6SIR9Zx1I9VaFDPj99z9JW,Proud Of U (feat. Young Thug),"['EARTHGANG', 'Young Thug']",61,1,0.775,0.516,2,-5.924,1,0.32,0.0679,0.0,0.152,0.419,78.022,238069,4
0Eqm7hD828cATBLUx2fJox,Meditate (feat. J.I.D.),"['EARTHGANG', 'JID']",64,1,0.743,0.679,10,-8.295,0,0.286,0.0757,0.0,0.347,0.618,147.752,278084,4
6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,"['Tyler, The Creator']",70,1,0.458,0.909,1,-6.553,1,0.487,0.0567,4.26e-06,0.11,0.449,118.227,205627,4
0wEC0GNF74lAqrEFZJMl1m,PUPPET,"['Tyler, The Creator']",70,1,0.508,0.557,8,-8.967,0,0.0478,0.00235,0.0134,0.588,0.199,77.572,179013,4
0oUTyBEY3NQzmu2VuoKpSH,Bass Inside,['AC Slater'],50,1,0.905,0.838,6,-6.838,1,0.0499,0.00112,0.839,0.608,0.464,126.007,264000,4
74cvkvTVxAXCew97vBnYiy,Notorious,['Malaa'],58,1,0.813,0.569,2,-6.068,1,0.0468,0.0508,0.0016,0.056,0.18,123.028,271219,4
3IVjcQvCFu1Bo7Kq3WRlNn,Utopia,['Dombresky'],49,1,0.754,0.833,10,-5.143,0,0.0428,0.00338,0.54,0.0666,0.105,126.031,280952,4
1LYipMFKz8X6fNU7RJvvVW,Last Kiss,['ARTY'],50,1,0.642,0.444,9,-15.608,0,0.0491,0.612,0.878,0.0871,0.0776,104.999,165653,4
3GiE1hcocpQIEf1gC7fv2o,Alan Turing's Legacy,['Alexandre Desplat'],52,1,0.242,0.371,5,-11.427,0,0.0333,0.803,0.969,0.0938,0.102,102.194,116520,4
0bFkkIO8Jg0pbjgIC4Af9i,Refuge At Helm's Deep,['Howard Shore'],24,1,0.157,0.0966,2,-21.442,0,0.0412,0.829,0.9,0.376,0.0375,107.793,239693,4
14MPukDTDeHcllZaywU8SC,"The Planets, op.32: 4. Jupiter, The Bringer Of Jollity","['Gustav Holst', 'Boston Pops Orchestra', 'John Williams']",15,1,0.328,0.165,7,-20.424,0,0.0395,0.919,0.87,0.0818,0.193,131.704,473000,4
4Rz1IkHSKVokFqeGbpgLsq,Across the Stars,['Daria Semikina'],4,1,0.339,0.126,4,-19.708,0,0.0535,0.986,0.889,0.108,0.151,89.757,218000,5
7gdwh4wARBZ9wF62gV8xRH,Across the Stars (Arrangement pour 2 pianos: E-F. LühlDolgorukiy),['Enguerrand-Friedrich Lühl-Dolgorukiy'],16,1,0.324,0.0549,0,-21.666,1,0.0398,0.992,0.879,0.087,0.0773,69.584,355013,4
3rUMH7i22tlkymhDPOmXUv,"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")","['John Williams', 'London Symphony Orchestra']",52,1,0.116,0.13,0,-18.278,1,0.0355,0.774,0.914,0.111,0.0666,80.611,333347,4
44E71CLFYSjL8IYhaus1n2,"Across the Stars (From ""Star Wars - Attack of the Clones"")","['Angèle Dubeau', 'La Pietà']",16,1,0.206,0.185,2,-16.906,1,0.0387,0.772,0.898,0.111,0.0728,132.667,388307,4
6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",['The Smiths'],61,1,0.241,0.468,2,-9.579,1,0.0272,0.534,0.0,0.161,0.451,91.581,112707,3
4F17fOFNxTHhNk6fXq46w6,Everybody Loves The Sunshine,"['Takuya Kuroda', 'José James']",49,1,0.834,0.323,5,-11.325,0,0.0607,0.0443,0.293,0.0928,0.434,82.994,565503,4
08lctzE8dgIbSfyz84XHNr,I Wish I Could Sleep,['Nymano'],59,1,0.682,0.328,3,-6.41,0,0.0342,0.73,0.9,0.0978,0.302,83.992,119754,4
1p8Po4X9rWvMOuGR2vhVI2,"Canon in D Major, P.37","['Johann Pachelbel', 'Music Lab Collective', 'Valentina Lisitsa']",56,1,0.401,0.125,2,-17.954,1,0.0436,0.988,0.939,0.113,0.216,106.187,288853,4
7qH9xRU2WDhMpyCnk5jbOP,P Tribute,['Cookin Soul'],38,1,0.469,0.528,5,-8.144,0,0.074,0.0634,0.925,0.182,0.374,89.975,165110,4
1cdaTOYFJ5dyaNYdW0Ogvo,Pace,"['Rome Fortune', 'UZ']",24,1,0.731,0.618,11,-7.768,0,0.311,0.0638,3.69e-06,0.111,0.249,134.985,194889,4
3869c1bl5bJqdD3cyDw8hh,Push Off,['The Palms'],52,1,0.61,0.519,10,-6.819,0,0.0387,0.661,3.87e-06,0.109,0.193,78.006,230950,3
6kzHdev57277EI4hniyGhK,Washed Away,['Eyes on the Shore'],38,1,0.557,0.529,2,-4.965,1,0.0297,0.0229,0.0107,0.0302,0.658,76.01,225789,4
5xK5ArnP276LBj2xknqKME,Enough,['Private Island'],19,1,0.494,0.811,5,-8.207,1,0.0721,0.2,0.00487,0.0871,0.0938,101.919,325481,4
4s2RoAKfpq2hyNIJqwDH8x,3BadSoSad,['Private Island'],30,1,0.602,0.561,11,-8.026,0,0.0289,0.428,0.0282,0.311,0.584,96.876,240013,4
40ZowipGyrHDeCECNIO7Ia,Tito's Grand Adventure,['Private Island'],30,1,0.463,0.675,10,-7.423,0,0.0376,0.025,0.0543,0.122,0.624,83.125,220933,4
0A5kmYIIACJiePgMTW5fYc,Trial/Error,['Private Island'],23,1,0.566,0.727,7,-5.562,0,0.0307,0.144,0.0726,0.111,0.605,109.053,243573,4
5XtErGdHEcSjGh4KeDojm4,Danger Can't,['Mom Jeans.'],45,1,0.655,0.466,8,-8.758,1,0.0511,0.00952,0.0,0.0751,0.638,150.968,214679,4
5mEJPvoDcNZrSoDeZ9u7uk,Newjerseydrive,"['Tha Audio Unit', 'Txger Vppercvt']",49,1,0.845,0.364,0,-11.552,0,0.0867,0.236,0.872,0.104,0.496,130.604,136344,3
5fDMSoh6h3hlSkRnTpHnRd,Bittersweet,['baaskaT'],6,1,0.74,0.346,6,-16.167,0,0.167,0.244,0.836,0.11,0.941,82.984,86000,4
2ENHsB59lQBMnpBUQTWG8T,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,"['Denzel Curry', ""Twelve'len"", 'GoldLink', 'Pazmal']",38,1,0.536,0.73,11,-6.245,0,0.178,0.121,6.99e-05,0.0994,0.264,84.894,254741,4
2xo44UuPdAFzaVMSX95suy,Forget It (feat. Oliver Tree),"['Getter', 'Oliver Tree']",58,1,0.681,0.616,1,-9.173,1,0.0366,0.00539,0.00403,0.0635,0.121,113.995,212632,4
0G5nSd1DWUTYlMY6IKgju8,Until The Mourning,['Da Sein'],51,1,0.628,0.164,6,-16.282,0,0.0632,0.858,0.885,0.11,0.378,148.28,135878,3
